locus	genome	chromosome	orthoblock
group2918	Thamnophis-elegans	13	OG0002264
group2919	Thamnophis-elegans	4	NA
group2920	Thamnophis-elegans	15	OG0000711
group2920	Thamnophis-elegans	15	OG0005176
group2920	Thamnophis-elegans	15	OG0005177
group2921	Thamnophis-elegans	NA	NA
group2922	Thamnophis-elegans	2	NOG4346
group2922	Thamnophis-elegans	2	OG0000038
group2923	Thamnophis-elegans	NA	NA
group2924	Thamnophis-elegans	1	OG0001501
group2925	Thamnophis-elegans	NW_022473900.1	OG0001094
group2926	Thamnophis-elegans	2	NA
group2927	Thamnophis-elegans	NA	NA
group2928	Thamnophis-elegans	2	OG0000038
group2929	Thamnophis-elegans	4	NA
group2930	Thamnophis-elegans	16	OG0000032
group2931	Thamnophis-elegans	NA	NA
group2932	Thamnophis-elegans	14	OG0006804
group2932	Thamnophis-elegans	14	OG0013552
group2933	Thamnophis-elegans	13	OG0000471
group2933	Thamnophis-elegans	13	OG0009305
group2934	Thamnophis-elegans	2	OG0000001
group2934	Thamnophis-elegans	2	OG0000001
group2935	Thamnophis-elegans	Z	OG0013291
group2936	Thamnophis-elegans	NW_022473802.1	OG0013070
group2937	Thamnophis-elegans	12	OG0009494
group2938	Thamnophis-elegans	NA	NA
group2939	Thamnophis-elegans	Z	OG0000005
group2940	Thamnophis-elegans	4	NA
group2941	Thamnophis-elegans	8	OG0002408
group2942	Thamnophis-elegans	NA	NA
group2943	Thamnophis-elegans	12	OG0005786
group2944	Thamnophis-elegans	12	NOG4541
group2944	Thamnophis-elegans	12	OG0000696
group2944	Thamnophis-elegans	12	OG0001675
group2945	Thamnophis-elegans	NW_022473679.1	NA
group2946	Thamnophis-elegans	13	OG0007055
group2946	Thamnophis-elegans	13	OG0015521
group2947	Thamnophis-elegans	Z	NA
group2948	Thamnophis-elegans	2	OG0001535
group2948	Thamnophis-elegans	2	OG0010083
group2949	Thamnophis-elegans	7	OG0006063
group2950	Thamnophis-elegans	7	OG0000098
group2950	Thamnophis-elegans	7	OG0000098
group2951	Thamnophis-elegans	1	OG0011800
group2952	Thamnophis-elegans	13	NA
group2953	Thamnophis-elegans	15	OG0002275
group2953	Thamnophis-elegans	15	OG0007657
group2954	Thamnophis-elegans	8	OG0015049
group2955	Thamnophis-elegans	1	OG0010602
group2956	Thamnophis-elegans	15	OG0009325
group2957	Thamnophis-elegans	2	OG0006303
group2958	Thamnophis-elegans	Z	OG0000056
group2959	Thamnophis-elegans	12	OG0002681
group2960	Thamnophis-elegans	NA	NA
group2961	Thamnophis-elegans	NA	NA
group2962	Thamnophis-elegans	2	OG0000072
group2962	Thamnophis-elegans	2	OG0000072
group2962	Thamnophis-elegans	2	OG0000072
group2963	Thamnophis-elegans	Z	NA
group2964	Thamnophis-elegans	1	OG0014444
group2965	Thamnophis-elegans	16	OG0008755
group2965	Thamnophis-elegans	16	OG0015863
group2966	Thamnophis-elegans	11	NA
group2967	Thamnophis-elegans	4	OG0007222
group2967	Thamnophis-elegans	4	OG0007223
group2968	Thamnophis-elegans	Z	NA
group2969	Thamnophis-elegans	NA	NA
group2970	Thamnophis-elegans	NA	NA
group2971	Thamnophis-elegans	14	OG0004479
group2971	Thamnophis-elegans	14	OG0004480
group2972	Thamnophis-elegans	NA	NA
group2973	Thamnophis-elegans	17	OG0000214
group2973	Thamnophis-elegans	17	OG0000214
group2974	Thamnophis-elegans	1	OG0000001
group2975	Thamnophis-elegans	8	OG0000132
group2975	Thamnophis-elegans	8	OG0000132
group2976	Thamnophis-elegans	NA	NA
group2977	Thamnophis-elegans	NA	NA
group2978	Thamnophis-elegans	NA	NA
group2979	Thamnophis-elegans	14	OG0000223
group2980	Thamnophis-elegans	NA	NA
group2981	Thamnophis-elegans	8	OG0007007
group2981	Thamnophis-elegans	8	OG0007008
group2982	Thamnophis-elegans	15	NA
group2983	Thamnophis-elegans	NA	NA
group2984	Thamnophis-elegans	16	OG0000032
group2984	Thamnophis-elegans	16	OG0000032
group2985	Thamnophis-elegans	Z	NA
group2986	Thamnophis-elegans	5	OG0001011
group2987	Thamnophis-elegans	2	OG0000013
group2987	Thamnophis-elegans	2	OG0000013
group2988	Thamnophis-elegans	2	OG0000006
group2989	Thamnophis-elegans	NA	NA
group2990	Thamnophis-elegans	2	NA
group2991	Thamnophis-elegans	14	NA
group2992	Thamnophis-elegans	NW_022473736.1	OG0010520
group2993	Thamnophis-elegans	17	OG0001640
group2993	Thamnophis-elegans	17	OG0001640
group2993	Thamnophis-elegans	17	OG0002513
group2994	Thamnophis-elegans	15	NA
group2995	Thamnophis-elegans	NA	NA
group2996	Thamnophis-elegans	2	OG0000023
group2996	Thamnophis-elegans	2	OG0000023
group2997	Thamnophis-elegans	8	OG0001657
group2998	Thamnophis-elegans	15	OG0010024
group2999	Thamnophis-elegans	7	OG0004510
group3000	Thamnophis-elegans	Z	OG0001898
group3001	Thamnophis-elegans	17	OG0002593
group3002	Thamnophis-elegans	13	OG0010525
group3003	Thamnophis-elegans	Z	OG0012122
group3004	Thamnophis-elegans	13	NA
group3005	Thamnophis-elegans	2	OG0005452
group3005	Thamnophis-elegans	2	OG0012374
group3006	Thamnophis-elegans	2	OG0004103
group3007	Thamnophis-elegans	NA	NA
group3008	Thamnophis-elegans	2	OG0001870
group3009	Thamnophis-elegans	11	OG0008055
group3010	Thamnophis-elegans	Z	OG0002017
group3011	Thamnophis-elegans	8	OG0004282
group3012	Thamnophis-elegans	NA	NA
group3013	Thamnophis-elegans	5	OG0011937
group3013	Thamnophis-elegans	5	OG0011938
group3014	Thamnophis-elegans	NA	NA
group3015	Thamnophis-elegans	16	OG0005595
group3016	Thamnophis-elegans	14	OG0001146
group3017	Thamnophis-elegans	9	OG0009922
group3018	Thamnophis-elegans	Z	OG0004933
group3019	Thamnophis-elegans	14	OG0008796
group3020	Thamnophis-elegans	3	NA
group3021	Thamnophis-elegans	5	OG0000070
group3022	Thamnophis-elegans	14	OG0000197
group3023	Thamnophis-elegans	NA	NA
group3024	Thamnophis-elegans	2	NOG4510
group3025	Thamnophis-elegans	9	NA
group3026	Thamnophis-elegans	16	OG0000291
group3027	Thamnophis-elegans	17	OG0014754
group3028	Thamnophis-elegans	2	NA
group3029	Thamnophis-elegans	13	OG0010492
group3030	Thamnophis-elegans	NA	NA
group3031	Thamnophis-elegans	8	OG0004276
group3032	Thamnophis-elegans	Z	OG0005922
group3033	Thamnophis-elegans	13	NA
group3034	Thamnophis-elegans	2	NA
group3035	Thamnophis-elegans	NA	NA
group3036	Thamnophis-elegans	13	OG0010545
group3037	Thamnophis-elegans	Z	OG0000004
group3038	Thamnophis-elegans	4	NA
group3039	Thamnophis-elegans	NA	NA
group3040	Thamnophis-elegans	3	OG0000971
group3041	Thamnophis-elegans	13	OG0012186
group3042	Thamnophis-elegans	2	OG0003816
group3043	Thamnophis-elegans	17	OG0013837
group3044	Thamnophis-elegans	NA	NA
group3045	Thamnophis-elegans	3	OG0010977
group3046	Thamnophis-elegans	16	OG0002552
group3047	Thamnophis-elegans	2	OG0000013
group3047	Thamnophis-elegans	2	OG0000013
group3048	Thamnophis-elegans	8	OG0000456
group3049	Thamnophis-elegans	7	OG0002534
group3050	Thamnophis-elegans	8	OG0002949
group3051	Thamnophis-elegans	2	NA
group3052	Thamnophis-elegans	17	OG0000214
group3053	Thamnophis-elegans	17	NA
group3054	Thamnophis-elegans	10	NA
group3055	Thamnophis-elegans	Z	NA
group3056	Thamnophis-elegans	1	OG0000001
group3056	Thamnophis-elegans	1	OG0000001
group3056	Thamnophis-elegans	1	OG0000001
group3056	Thamnophis-elegans	1	OG0000001
group3057	Thamnophis-elegans	NA	NA
group3058	Thamnophis-elegans	1	NA
group3059	Thamnophis-elegans	NA	NA
group3060	Thamnophis-elegans	Z	OG0004628
group3061	Thamnophis-elegans	3	OG0010956
group3062	Thamnophis-elegans	7	OG0001030
group3063	Thamnophis-elegans	10	NA
group3064	Thamnophis-elegans	5	OG0011931
group3065	Thamnophis-elegans	13	OG0000425
group3066	Thamnophis-elegans	NW_022473751.1	OG0000297
group3067	Thamnophis-elegans	5	OG0000385
group3068	Thamnophis-elegans	7	OG0009595
group3069	Thamnophis-elegans	2	NA
group3070	Thamnophis-elegans	7	OG0011741
group3071	Thamnophis-elegans	Z	OG0000007
group3072	Thamnophis-elegans	NA	NA
group3073	Thamnophis-elegans	15	OG0008934
group3074	Thamnophis-elegans	Z	OG0011155
group3075	Thamnophis-elegans	2	OG0000038
group3076	Thamnophis-elegans	Z	NA
group3077	Thamnophis-elegans	13	NA
group3078	Thamnophis-elegans	1	NA
group3079	Thamnophis-elegans	16	OG0001409
group3080	Thamnophis-elegans	2	OG0000006
group3080	Thamnophis-elegans	2	OG0000006
group3080	Thamnophis-elegans	2	OG0000006
group3081	Thamnophis-elegans	5	NA
group3082	Thamnophis-elegans	Z	OG0000007
group3083	Thamnophis-elegans	NA	NA
group3084	Thamnophis-elegans	16	OG0000946
group3085	Thamnophis-elegans	11	OG0001126
group3085	Thamnophis-elegans	11	OG0003168
group3085	Thamnophis-elegans	11	OG0015849
group3086	Thamnophis-elegans	4	OG0000207
group3087	Thamnophis-elegans	17	OG0000437
group3088	Thamnophis-elegans	NA	NA
group3089	Thamnophis-elegans	2	OG0000072
group3090	Thamnophis-elegans	17	OG0000214
group3090	Thamnophis-elegans	17	OG0000214
group3091	Thamnophis-elegans	14	OG0003357
group3091	Thamnophis-elegans	14	OG0003358
group3092	Thamnophis-elegans	NA	NA
group3093	Thamnophis-elegans	15	OG0007077
group3094	Thamnophis-elegans	8	OG0001503
group3094	Thamnophis-elegans	8	OG0001503
group3094	Thamnophis-elegans	8	OG0002956
group3095	Thamnophis-elegans	NA	NA
group3096	Thamnophis-elegans	NA	NA
group3097	Thamnophis-elegans	15	OG0012538
group3098	Thamnophis-elegans	7	OG0013200
group3099	Thamnophis-elegans	2	OG0000017
group3100	Thamnophis-elegans	2	OG0000038
group3101	Thamnophis-elegans	NA	NA
group3102	Thamnophis-elegans	10	NA
group3103	Thamnophis-elegans	2	OG0002192
group3104	Thamnophis-elegans	Z	NA
group3105	Thamnophis-elegans	NA	NA
group3106	Thamnophis-elegans	NA	NA
group3107	Thamnophis-elegans	17	OG0002597
group3107	Thamnophis-elegans	17	OG0010686
group3108	Thamnophis-elegans	2	OG0000023
group3108	Thamnophis-elegans	2	OG0000023
group3109	Thamnophis-elegans	Z	NA
group3110	Thamnophis-elegans	NA	NA
